antibody	fold_change	p_value	log2_fold_change	minus_log10_p_value
ITGB1	1.180034604626248	3.9362613724058804e-8	0.2388291673758121	7.404916071616502
JAGGED_1	0.9383777939059864	0.0022436564276708815	-0.0917592215473377	2.6490436460747495
JAK1	0.9527125330337773	0.011118248841171074	-0.06988712705770855	1.9539636101015532
JAK1_P	1.0992545385132102	1.6058312457545298e-7	0.13652548904542897	6.79430009597414
JNK	0.9870631563460913	0.6297267196715516	-0.018785697710980397	0.20084787893912653
JNK_P	0.8932052307783551	5.438364631960013e-7	-0.16293639500788024	6.264531677156895
KALLIKREIN_6	0.7737678624621185	0	-0.3700272855031904	20
KLF4	1.078461594658711	4.059408365009176e-10	0.10897480127169228	9.391537257687569
LRP6_P	0.9775368928580855	0.33351877556839005	-0.032776943220296846	0.4768797122834974
MAPK_APK2_P	0.8196943745767351	0	-0.28684199792767506	20
MAPK_P38_P	1.072639943232151	1.0965425988329613e-6	0.10116588291008566	5.959974492049631
MAPK_P38_P2	0.9944008510054666	0.36016103227008145	-0.008100563842055852	0.4435032775952274
MKK3_6_P	1.1390050873525293	8.151257446797899e-13	0.18777419084047106	12.088775390023036
MTOR_P	1.1273542774078877	3.5784314400544304e-8	0.17294096177524723	7.446307299112683
NFKB_P65_P	1.127708712934712	6.315054223993144e-8	0.1733944678487049	7.199622916038198
NICD	1.1219353711844295	3.834466339225351e-6	0.16598957224154107	5.416295070321746
NOTCH_1	0.9606003616106614	0.3940659669693968	-0.05799174322041668	0.4044310708324911
NOTCH_2	1.1309528969429417	5.410116798998388e-13	0.17753884377340517	12.266793358809709
NOTCH_3	1.1112849964245557	4.0644528713540407e-4	0.15222885291164662	3.390997907866754
P63	0.937952930817233	0.024347144437600554	-0.09241256892752031	1.613551967825772
PLC_G1_P	1.151768746084611	4.173499335013986e-8	0.20385107930805688	7.379499651361201
PLC_G2_P	1.1103122527256746	5.9451771644902784e-5	0.15096546225822985	4.225835199007596
RB_P	1.010204536978905	0.9704610240236585	0.014647426254420469	0.013021902203863877
RELA	1.0861787415756197	1.7439694549759022e-4	0.1192615325769647	3.7584611258550487
RELA_P	1.1189670354649293	3.252300062595026e-8	0.16216753544586554	7.487809392500633
RIBOSOMAL_S6_P	0.9742658152201262	0.011612274886153684	-0.03761264908893824	1.9350826920853963
RNAPOLII	1.0918171076546623	3.424141203911546e-8	0.12673120792620207	7.465448334294196
RSK1_P_S380	0.9630808456197582	0.01775663354426782	-0.0542711850023336	1.7506393680468169
RSK1_P_T359	1.2892054764731906	0	0.3664822220114395	20
SMAD1	1.192395601347783	0	0.25386295846466067	20
SMAD1_5_9_P	1.1326312023215224	7.974377423947132e-7	0.17967817960921156	6.098303213211053
SMAD1_5_P	1.143316665629559	1.517108882964635e-9	0.1932250436750164	8.818983248762532
SMAD2_3_P	1.0761345908255755	6.565482388148913e-4	0.10585852526775234	3.182733359320924
SMAD3	0.9699948712126015	0.13350973614485828	-0.043950975727501264	0.8744870623907341
SRC	1.1134221863393448	2.5767166178525258e-11	0.15500073611847215	10.588933341662614
SRC_P	1.1201727254355112	8.234166905429774e-6	0.16372120631527146	5.084380334159944
STAT1	0.7952157788856767	6.181795444426541e-7	-0.3305817113595611	6.208885369836705
STAT1_P	1.0880774534062918	1.6142985922451558e-6	0.12178125665072433	5.79201613196173
STAT3_P	0.8896887609095394	2.714772850964664e-11	-0.16862736737447478	10.566266502612732
STAT5_P	1.1380371230577455	8.06597983959989e-8	0.18654761948788423	7.093342867818292
TGM1	1.226716149685028	8.348449371586852e-5	0.29480146186440115	4.078394182229011
