antibody	fold_change	p_value	log2_fold_change	minus_log10_p_value
NOTCH_1	0.9883253477183583	0.03867242108637725	-0.016942052800130003	1.4125986380758948
NOTCH_2	0.9040435411665136	1.2330422272111008e-7	-0.14553583650323704	6.909022050143327
NOTCH_3	0.8944680514758823	0.004348552506027281	-0.16089814173310002	2.361655281725863
P63	0.9884250017710879	0.7515808859518764	-0.016796591429313588	0.12402427331762994
PLC_G1_P	0.8935970275649658	1.981384560867383e-7	-0.1623037079967695	6.703031225393243
PLC_G2_P	0.8824961563098807	7.128665983746618e-5	-0.18033810011232632	4.146991733837173
RB_P	0.844296748681211	0.00560320930785152	-0.24417793646944222	2.25156315416154
RELA	0.9499917989447887	0.01464072834017871	-0.0740130358361485	1.8344373176592863
RELA_P	0.8576738270225432	5.795364188543317e-14	-0.2214989991487133	13.23691926718874
RIBOSOMAL_S6_P	0.716897770099234	1.2212453270876722e-15	-0.4801606901668587	14.913197085032778
RNAPOLII	0.9052043314755305	4.414761545223911e-8	-0.14368460685423554	7.355092749026429
RSK1_P_S380	1.0495834745287984	0.0023363277878627464	0.06981691031726486	2.63146622556939
RSK1_P_T359	0.7502734453087597	0	-0.41451159755538936	20
SMAD1	0.8704634984822628	0	-0.20014429289005292	20
SMAD1_5_9_P	0.925854930009296	1.9038400785320597e-5	-0.11114193612326113	4.72036953490532
SMAD1_5_P	0.9039631475218446	5.975773598176914e-8	-0.14566413637434383	7.223605864828039
SMAD2_3_P	0.9548007514648352	0.020530384683830838	-0.06672839301086034	1.6876029130502646
SMAD3	1.0466252062906936	0.05884319559182716	0.06574490948154993	1.2303037501149368
SRC	0.8688639724166378	3.3306690738754696e-16	-0.20279776558198176	15.47746851547134
SRC_P	0.9221326406889806	0.003757746403333373	-0.11695381028392107	2.425072532204942
STAT1	1.5912028522043489	8.881784197001252e-16	0.6701177672932072	15.05149978319906
STAT1_P	0.9367393410470596	9.899792164702603e-6	-0.09428043835222855	5.004373922843891
STAT3_P	1.1005272662782275	8.785677130251912e-8	0.1381948893794742	7.056224760907536
STAT5_P	0.9046421784531425	1.7980548905338622e-7	-0.14458083247254316	6.74519705437582
TGM1	0.7502079107427216	1.143554735971719e-5	-0.41463761897259493	4.94174304315906
