antibody	type	cluster	intensity
EGFR_P_Y1045	Signalling state marker	C8	-0.59972228571982
EGFR_P_Y1045	Signalling state marker	C9	1.2021968434558
EGFR_P_Y1173	Signalling state marker	C1	-0.495277742329418
EGFR_P_Y1173	Signalling state marker	C2	-0.7619671152793326
EGFR_P_Y1173	Signalling state marker	C3	0.113452702056382
EGFR_P_Y1173	Signalling state marker	C4	-0.158437882812829
EGFR_P_Y1173	Signalling state marker	C5	-0.3953521175021055
EGFR_P_Y1173	Signalling state marker	C6	0.441866036365079
EGFR_P_Y1173	Signalling state marker	C7	0.314517672093529
EGFR_P_Y1173	Signalling state marker	C8	0.0356375027487223
EGFR_P_Y1173	Signalling state marker	C9	1.53784774990962
EPHRIN_B3	Signalling state marker	C1	-0.0773186785256113
EPHRIN_B3	Signalling state marker	C2	-0.6447914513213235
EPHRIN_B3	Signalling state marker	C3	-0.080214189924529
EPHRIN_B3	Signalling state marker	C4	-0.0573894472706657
EPHRIN_B3	Signalling state marker	C5	-0.175069241004433
EPHRIN_B3	Signalling state marker	C6	0.4485651519814845
EPHRIN_B3	Signalling state marker	C7	0.2573537904414225
EPHRIN_B3	Signalling state marker	C8	0.0575129954365258
EPHRIN_B3	Signalling state marker	C9	0.998705664179714
ERK1_2_P	Signalling state marker	C1	-0.4877916419555905
ERK1_2_P	Signalling state marker	C2	-0.45314429551900304
ERK1_2_P	Signalling state marker	C3	-0.322870093996608
ERK1_2_P	Signalling state marker	C4	-0.465305082613639
ERK1_2_P	Signalling state marker	C5	-0.31788857306830554
ERK1_2_P	Signalling state marker	C6	-0.256435409016201
ERK1_2_P	Signalling state marker	C7	-0.32071958016033597
ERK1_2_P	Signalling state marker	C8	-0.0645852462273115
ERK1_2_P	Signalling state marker	C9	0.321159466734094
FAK	Signalling state marker	C1	-0.09108162963679076
FAK	Signalling state marker	C2	-0.88840311841061
FAK	Signalling state marker	C3	-0.00614985612204643
FAK	Signalling state marker	C4	-0.218125423521324
FAK	Signalling state marker	C5	-0.5791096774174636
FAK	Signalling state marker	C6	0.5176960261942389
FAK	Signalling state marker	C7	0.11991769624766299
FAK	Signalling state marker	C8	-0.158439580994599
FAK	Signalling state marker	C9	1.64735800104129
FAK_P	Signalling state marker	C1	-0.014981393186140949
FAK_P	Signalling state marker	C2	-0.8659196061447234
FAK_P	Signalling state marker	C3	-0.0959496595126778
FAK_P	Signalling state marker	C4	-0.321357072491908
FAK_P	Signalling state marker	C5	-0.359245039968779
FAK_P	Signalling state marker	C6	0.5819336086181406
FAK_P	Signalling state marker	C7	0.710401991890352
FAK_P	Signalling state marker	C8	-0.607720490800635
FAK_P	Signalling state marker	C9	1.07844104554982
GAPDH	Signalling state marker	C1	-0.49463483135110153
GAPDH	Signalling state marker	C2	-0.537607720255988
GAPDH	Signalling state marker	C3	-0.219327771313874
GAPDH	Signalling state marker	C4	-0.00734976422570087
GAPDH	Signalling state marker	C5	-0.449078576680633
GAPDH	Signalling state marker	C6	0.014726305034622154
GAPDH	Signalling state marker	C7	0.09037548338368125
GAPDH	Signalling state marker	C8	0.530207265689218
GAPDH	Signalling state marker	C9	0.282735025516984
GSK3B_P	Signalling state marker	C1	0.19440725144382548
GSK3B_P	Signalling state marker	C2	-0.4128670627039725
GSK3B_P	Signalling state marker	C3	-0.032553617927229
GSK3B_P	Signalling state marker	C4	0.306567368011226
GSK3B_P	Signalling state marker	C5	-0.361128088864597
GSK3B_P	Signalling state marker	C6	0.034391405379641055
GSK3B_P	Signalling state marker	C7	0.4359088934693265
GSK3B_P	Signalling state marker	C8	-1.00245096799739
GSK3B_P	Signalling state marker	C9	0.047906060775422
H2A_P	Signalling state marker	C1	0.299239806862109
H2A_P	Signalling state marker	C2	-0.6041353130412955
H2A_P	Signalling state marker	C3	-0.159288557637766
H2A_P	Signalling state marker	C4	-0.541468041464978
H2A_P	Signalling state marker	C5	0.257287704760331
H2A_P	Signalling state marker	C6	0.31096183250362996
H2A_P	Signalling state marker	C7	-0.18030319273977102
H2A_P	Signalling state marker	C8	-0.788198101087402
H2A_P	Signalling state marker	C9	-0.322674240208328
IGFBP_3	Signalling state marker	C1	0.03561253911472517
IGFBP_3	Signalling state marker	C2	-0.914593035626445
IGFBP_3	Signalling state marker	C3	-0.0894015258031623
IGFBP_3	Signalling state marker	C4	-0.406391428804806
IGFBP_3	Signalling state marker	C5	-0.4114021926085285
IGFBP_3	Signalling state marker	C6	0.719438407526957
IGFBP_3	Signalling state marker	C7	0.667617986621804
IGFBP_3	Signalling state marker	C8	-0.545517007012432
IGFBP_3	Signalling state marker	C9	0.900113399766722
IKBA_P	Signalling state marker	C1	0.21455635475318602
IKBA_P	Signalling state marker	C2	-0.37728441286084546
IKBA_P	Signalling state marker	C3	0.194646129683518
IKBA_P	Signalling state marker	C4	0.0316849895944626
IKBA_P	Signalling state marker	C5	-0.157582015812705
IKBA_P	Signalling state marker	C6	0.2755085497160775
IKBA_P	Signalling state marker	C7	0.25581995477589947
IKBA_P	Signalling state marker	C8	-0.746423853562268
IKBA_P	Signalling state marker	C9	-0.248958493847533
ITGB1	Signalling state marker	C1	0.1825327561612915
ITGB1	Signalling state marker	C2	-0.5245042188944695
ITGB1	Signalling state marker	C3	-0.00331989650051395
ITGB1	Signalling state marker	C4	-0.0197366004331861
ITGB1	Signalling state marker	C5	-0.257839664994654
ITGB1	Signalling state marker	C6	0.1105618858575825
ITGB1	Signalling state marker	C7	1.002205666707734
ITGB1	Signalling state marker	C8	-0.572175778519137
ITGB1	Signalling state marker	C9	-0.40545898113021
JAK1	Signalling state marker	C1	-0.1302097227266675
JAK1	Signalling state marker	C2	0.6097172779373555
JAK1	Signalling state marker	C3	0.576463736336789
JAK1	Signalling state marker	C4	0.735082930432352
JAK1	Signalling state marker	C5	-0.2286942297101195
JAK1	Signalling state marker	C6	-0.5828380857716691
JAK1	Signalling state marker	C7	-0.40386435762024697
JAK1	Signalling state marker	C8	-0.0228100678740591
JAK1	Signalling state marker	C9	-0.764309453502447
JAK1_P	Signalling state marker	C1	-0.2523552582280995
JAK1_P	Signalling state marker	C2	-0.7127588784400225
JAK1_P	Signalling state marker	C3	-0.0412012041789293
JAK1_P	Signalling state marker	C4	-0.305429216751233
JAK1_P	Signalling state marker	C5	-0.504385973605836
JAK1_P	Signalling state marker	C6	0.6444597084299265
JAK1_P	Signalling state marker	C7	0.316655440655272
JAK1_P	Signalling state marker	C8	-0.190277617293929
JAK1_P	Signalling state marker	C9	1.53166243435107
JNK_P	Signalling state marker	C1	-0.3911169881787115
JNK_P	Signalling state marker	C2	-0.3531173959710905
JNK_P	Signalling state marker	C3	-0.204611424890889
JNK_P	Signalling state marker	C4	-0.21813331637257
JNK_P	Signalling state marker	C5	-0.446366394898363
JNK_P	Signalling state marker	C6	-0.3045423558022305
JNK_P	Signalling state marker	C7	-0.27286335442964305
JNK_P	Signalling state marker	C8	1.27906850669711
JNK_P	Signalling state marker	C9	-0.0710080208805735
KALLIKREIN_6	Signalling state marker	C1	-0.1999922353035965
KALLIKREIN_6	Signalling state marker	C2	-0.3855443978712945
KALLIKREIN_6	Signalling state marker	C3	-0.24640460032303
KALLIKREIN_6	Signalling state marker	C4	-0.297981658106235
KALLIKREIN_6	Signalling state marker	C5	-0.027409763452134854
KALLIKREIN_6	Signalling state marker	C6	-0.0847057028537065
KALLIKREIN_6	Signalling state marker	C7	0.1984811963495555
KALLIKREIN_6	Signalling state marker	C8	-0.647612564019475
KALLIKREIN_6	Signalling state marker	C9	-0.21100263698797
KLF4	Signalling state marker	C1	-0.4524401980765075
KLF4	Signalling state marker	C2	-0.302773101593596
KLF4	Signalling state marker	C3	0.209004336039285
KLF4	Signalling state marker	C4	0.150078674503912
KLF4	Signalling state marker	C5	-0.5532013290241115
KLF4	Signalling state marker	C6	0.08837505906633004
KLF4	Signalling state marker	C7	0.1087415850846075
KLF4	Signalling state marker	C8	-0.225042087414612
KLF4	Signalling state marker	C9	0.465774640482963
LRP6_P	Signalling state marker	C1	-0.6167802227240995
LRP6_P	Signalling state marker	C2	-0.3618117959421125
LRP6_P	Signalling state marker	C3	-0.00830917169408521
LRP6_P	Signalling state marker	C4	-0.0972397269739198
LRP6_P	Signalling state marker	C5	-0.60348065408411
LRP6_P	Signalling state marker	C6	-0.138907770189509
LRP6_P	Signalling state marker	C7	-0.31756823829619096
LRP6_P	Signalling state marker	C8	1.94815759128898
LRP6_P	Signalling state marker	C9	0.0774625702032686
MAPK_APK2_P	Signalling state marker	C1	0.043105256888166646
MAPK_APK2_P	Signalling state marker	C2	-0.158993801402357
MAPK_APK2_P	Signalling state marker	C3	-0.0953306160839901
MAPK_APK2_P	Signalling state marker	C4	-0.282105675961784
MAPK_APK2_P	Signalling state marker	C5	0.2559809058838305
MAPK_APK2_P	Signalling state marker	C6	-0.1553465318636215
MAPK_APK2_P	Signalling state marker	C7	-0.0528100373542151
MAPK_APK2_P	Signalling state marker	C8	-0.824249937877621
MAPK_APK2_P	Signalling state marker	C9	-0.41364341713446
MAPK_P38_P	Signalling state marker	C1	-0.052737323316323304
MAPK_P38_P	Signalling state marker	C2	-0.6216073963468215
MAPK_P38_P	Signalling state marker	C3	-0.0596374505476948
MAPK_P38_P	Signalling state marker	C4	-0.342013703756353
MAPK_P38_P	Signalling state marker	C5	-0.601925840414782
MAPK_P38_P	Signalling state marker	C6	0.11344072235667835
MAPK_P38_P	Signalling state marker	C7	0.8400829372252909
MAPK_P38_P	Signalling state marker	C8	0.0680755047772169
MAPK_P38_P	Signalling state marker	C9	0.386777147290444
MKK3_6_P	Signalling state marker	C1	0.01762499821406083
MKK3_6_P	Signalling state marker	C2	-0.578058656954452
MKK3_6_P	Signalling state marker	C3	-0.330648176709915
MKK3_6_P	Signalling state marker	C4	-0.178390315002548
MKK3_6_P	Signalling state marker	C5	-0.402367942183681
MKK3_6_P	Signalling state marker	C6	0.1485681800689735
MKK3_6_P	Signalling state marker	C7	0.4790987331090135
MKK3_6_P	Signalling state marker	C8	-0.299222356724491
MKK3_6_P	Signalling state marker	C9	0.621542278037645
MTOR_P	Signalling state marker	C1	-0.1431699384910675
MTOR_P	Signalling state marker	C2	-0.910752493123328
MTOR_P	Signalling state marker	C3	-0.0593848379976477
MTOR_P	Signalling state marker	C4	-0.474167861886862
MTOR_P	Signalling state marker	C5	-0.07879213698904569
MTOR_P	Signalling state marker	C6	0.7265957952555375
MTOR_P	Signalling state marker	C7	0.42378254476369703
MTOR_P	Signalling state marker	C8	-0.386701946405814
MTOR_P	Signalling state marker	C9	1.28546543736381
NFKB_P65_P	Signalling state marker	C1	-0.07702525721744115
NFKB_P65_P	Signalling state marker	C2	-0.8493326216025815
NFKB_P65_P	Signalling state marker	C3	-0.148004607026641
NFKB_P65_P	Signalling state marker	C4	-0.450376234425707
NFKB_P65_P	Signalling state marker	C5	-0.21675964663820102
NFKB_P65_P	Signalling state marker	C6	0.978044328550654
NFKB_P65_P	Signalling state marker	C7	0.4017041167782185
NFKB_P65_P	Signalling state marker	C8	-0.519834739195072
NFKB_P65_P	Signalling state marker	C9	1.06185056614357
NICD	Signalling state marker	C1	-0.31524237930592103
NICD	Signalling state marker	C2	-0.8785898835649626
NICD	Signalling state marker	C3	-0.00608580011433013
NICD	Signalling state marker	C4	-0.417650939825511
NICD	Signalling state marker	C5	-0.08816854578651265
NICD	Signalling state marker	C6	0.66603493367807
NICD	Signalling state marker	C7	0.47445381000388853
NICD	Signalling state marker	C8	-0.466017066192193
NICD	Signalling state marker	C9	1.39657078286139
NOTCH_2	Signalling state marker	C1	0.035607669592533614
NOTCH_2	Signalling state marker	C2	-0.649895357998798
NOTCH_2	Signalling state marker	C3	0.0354225194123246
NOTCH_2	Signalling state marker	C4	-0.0123797195570288
NOTCH_2	Signalling state marker	C5	-0.30451948010825447
NOTCH_2	Signalling state marker	C6	0.32460020722764904
NOTCH_2	Signalling state marker	C7	0.4158359168125625
NOTCH_2	Signalling state marker	C8	-0.539650638469478
NOTCH_2	Signalling state marker	C9	0.82793148944136
PLC_G1_P	Signalling state marker	C1	0.00946409744646935
PLC_G1_P	Signalling state marker	C2	-0.867189169836273
PLC_G1_P	Signalling state marker	C3	-0.0981199748711927
PLC_G1_P	Signalling state marker	C4	-0.506484420329436
PLC_G1_P	Signalling state marker	C5	-0.13660295258705202
PLC_G1_P	Signalling state marker	C6	0.6280539868421644
PLC_G1_P	Signalling state marker	C7	0.284990806334358
PLC_G1_P	Signalling state marker	C8	-0.511911438426787
PLC_G1_P	Signalling state marker	C9	1.69528299731513
PLC_G2_P	Signalling state marker	C1	-0.173764520857161
PLC_G2_P	Signalling state marker	C2	-0.7306515407358105
PLC_G2_P	Signalling state marker	C3	-0.188764976317569
PLC_G2_P	Signalling state marker	C4	-0.417961412881493
PLC_G2_P	Signalling state marker	C5	-0.2962889110065385
PLC_G2_P	Signalling state marker	C6	0.451423552057452
PLC_G2_P	Signalling state marker	C7	0.15148175454998852
PLC_G2_P	Signalling state marker	C8	-0.241862944173556
PLC_G2_P	Signalling state marker	C9	1.77434391222451
RELA_P	Signalling state marker	C1	-0.0674994968579752
RELA_P	Signalling state marker	C2	-0.924063667338016
RELA_P	Signalling state marker	C3	-0.0455241173064289
RELA_P	Signalling state marker	C4	-0.364325312994682
RELA_P	Signalling state marker	C5	-0.35774804787681
RELA_P	Signalling state marker	C6	0.7404390068926185
RELA_P	Signalling state marker	C7	-0.037608386215842504
RELA_P	Signalling state marker	C8	0.499444123516921
RELA_P	Signalling state marker	C9	1.19493382387001
RIBOSOMAL_S6_P	Signalling state marker	C1	-0.00137442917370223
RIBOSOMAL_S6_P	Signalling state marker	C2	0.08860096613456485
RIBOSOMAL_S6_P	Signalling state marker	C3	0.645465963825199
RIBOSOMAL_S6_P	Signalling state marker	C4	-0.281557148793385
RIBOSOMAL_S6_P	Signalling state marker	C5	0.04507995376806605
RIBOSOMAL_S6_P	Signalling state marker	C6	0.2837790682682685
RIBOSOMAL_S6_P	Signalling state marker	C7	-0.909165918750162
RIBOSOMAL_S6_P	Signalling state marker	C8	-0.0973193582470117
RIBOSOMAL_S6_P	Signalling state marker	C9	-0.594259110323262
RNAPOLII	Signalling state marker	C1	-0.16741907261800149
RNAPOLII	Signalling state marker	C2	0.07202085762992776
RNAPOLII	Signalling state marker	C3	-0.00641720510026338
RNAPOLII	Signalling state marker	C4	0.0245939278042018
RNAPOLII	Signalling state marker	C5	-0.3505724304904245
RNAPOLII	Signalling state marker	C6	0.2774029798587095
RNAPOLII	Signalling state marker	C7	0.13135372211998186
RNAPOLII	Signalling state marker	C8	-0.351650734028136
RNAPOLII	Signalling state marker	C9	0.487428454598336
RSK1_P_T359	Signalling state marker	C1	-0.4872997194093695
RSK1_P_T359	Signalling state marker	C2	-0.36759035407887297
RSK1_P_T359	Signalling state marker	C3	0.0918427744364985
RSK1_P_T359	Signalling state marker	C4	0.0219587679312368
RSK1_P_T359	Signalling state marker	C5	-0.310187466821011
RSK1_P_T359	Signalling state marker	C6	0.36803211953023696
RSK1_P_T359	Signalling state marker	C7	0.03365008709838284
RSK1_P_T359	Signalling state marker	C8	-0.0535550841663676
RSK1_P_T359	Signalling state marker	C9	0.803403963729034
SMAD1	Signalling state marker	C1	0.1791786987451095
SMAD1	Signalling state marker	C2	-0.255205664688535
SMAD1	Signalling state marker	C3	0.0544805417225789
SMAD1	Signalling state marker	C4	0.23598760401288
SMAD1	Signalling state marker	C5	-0.5012864407863855
SMAD1	Signalling state marker	C6	0.2244136432095685
SMAD1	Signalling state marker	C7	0.3099793200980895
SMAD1	Signalling state marker	C8	-0.490254196300214
SMAD1	Signalling state marker	C9	0.450503926571648
SMAD1_5_9_P	Signalling state marker	C1	-0.15619027435604949
SMAD1_5_9_P	Signalling state marker	C2	-0.895539045012262
SMAD1_5_9_P	Signalling state marker	C3	-0.0987800842940807
SMAD1_5_9_P	Signalling state marker	C4	-0.523984014640847
SMAD1_5_9_P	Signalling state marker	C5	-0.45352140783204953
SMAD1_5_9_P	Signalling state marker	C6	0.788444224498261
SMAD1_5_9_P	Signalling state marker	C7	0.6904536367144014
SMAD1_5_9_P	Signalling state marker	C8	-0.526622202140869
SMAD1_5_9_P	Signalling state marker	C9	1.42493367393021
SMAD1_5_P	Signalling state marker	C1	0.281968315993233
SMAD1_5_P	Signalling state marker	C2	-0.986253778233768
SMAD1_5_P	Signalling state marker	C3	-0.135537753149541
SMAD1_5_P	Signalling state marker	C4	-0.404762319751115
SMAD1_5_P	Signalling state marker	C5	-0.11022631639775529
SMAD1_5_P	Signalling state marker	C6	0.8010898947849755
SMAD1_5_P	Signalling state marker	C7	0.6367432583952225
SMAD1_5_P	Signalling state marker	C8	-0.551004376211422
SMAD1_5_P	Signalling state marker	C9	1.1874971760925
SRC	Signalling state marker	C1	0.05256430771137195
SRC	Signalling state marker	C2	-0.5202377591185514
SRC	Signalling state marker	C3	-0.20396328732751
SRC	Signalling state marker	C4	0.536315340659706
SRC	Signalling state marker	C5	-0.329672615026253
SRC	Signalling state marker	C6	-0.060612556498721396
SRC	Signalling state marker	C7	0.4161749803442605
SRC	Signalling state marker	C8	0.35454373122127
SRC	Signalling state marker	C9	-0.379505235789053
SRC_P	Signalling state marker	C1	0.026865660121597402
SRC_P	Signalling state marker	C2	-0.904061686264752
SRC_P	Signalling state marker	C3	-0.0490110125485066
SRC_P	Signalling state marker	C4	-0.418218004241084
SRC_P	Signalling state marker	C5	-0.1444074822665095
SRC_P	Signalling state marker	C6	0.5079957035884295
SRC_P	Signalling state marker	C7	0.5701496390020986
SRC_P	Signalling state marker	C8	-0.511915398809043
SRC_P	Signalling state marker	C9	0.897088168871225
STAT1	Signalling state marker	C1	-0.492602403489793
STAT1	Signalling state marker	C2	0.5130857056865945
STAT1	Signalling state marker	C3	-0.195763743086375
STAT1	Signalling state marker	C4	0.360326713095139
STAT1	Signalling state marker	C5	-0.309966113901897
STAT1	Signalling state marker	C6	-0.5936792049007069
STAT1	Signalling state marker	C7	-0.389254160648643
STAT1	Signalling state marker	C8	-0.343435681845479
STAT1	Signalling state marker	C9	-0.699559708968718
STAT1_P	Signalling state marker	C1	-0.422305668599247
STAT1_P	Signalling state marker	C2	-0.7974545881952271
STAT1_P	Signalling state marker	C3	-0.109494746041184
STAT1_P	Signalling state marker	C4	-0.439700432782133
STAT1_P	Signalling state marker	C5	-0.35292551024183
STAT1_P	Signalling state marker	C6	0.7208805286943254
STAT1_P	Signalling state marker	C7	0.3208652893562825
STAT1_P	Signalling state marker	C8	-0.248919408172251
STAT1_P	Signalling state marker	C9	1.49339438303553
STAT3_P	Signalling state marker	C1	-0.11091139086544075
STAT3_P	Signalling state marker	C2	-0.162172227282184
STAT3_P	Signalling state marker	C3	0.333368304644524
STAT3_P	Signalling state marker	C4	0.138594803070903
STAT3_P	Signalling state marker	C5	0.15893132062931348
STAT3_P	Signalling state marker	C6	0.09867899850868594
STAT3_P	Signalling state marker	C7	-0.0382902354149837
STAT3_P	Signalling state marker	C8	-0.18301572142485
STAT3_P	Signalling state marker	C9	-0.0885806031620365
STAT5_P	Signalling state marker	C1	0.0022358187906535727
STAT5_P	Signalling state marker	C2	-0.9158000752392546
STAT5_P	Signalling state marker	C3	-0.146164820415316
STAT5_P	Signalling state marker	C4	-0.252401095260048
STAT5_P	Signalling state marker	C5	-0.212955486808246
STAT5_P	Signalling state marker	C6	0.7870699911045249
STAT5_P	Signalling state marker	C7	0.425391178406315
STAT5_P	Signalling state marker	C8	-0.493091104147598
STAT5_P	Signalling state marker	C9	1.74468028641183
TGM1	Signalling state marker	C1	-0.2053000038276055
TGM1	Signalling state marker	C2	-0.183179729699525
TGM1	Signalling state marker	C3	-0.154009763298941
TGM1	Signalling state marker	C4	-0.185941805065512
TGM1	Signalling state marker	C5	-0.221368154068374
TGM1	Signalling state marker	C6	-0.1146909131318485
TGM1	Signalling state marker	C7	-0.0991062513342287
TGM1	Signalling state marker	C8	-0.189923473254076
TGM1	Signalling state marker	C9	-0.00634241288219957
